id,notumor,meningioma,pituitary,glioma
0,notumor/Tr-no_1.jpg,meningioma/Tr-aug-me_1.jpg,pituitary/Tr-pi_1.jpg,glioma/Tr-gl_1.jpg
1,notumor/Tr-no_10.jpg,meningioma/Tr-aug-me_10.jpg,pituitary/Tr-pi_10.jpg,glioma/Tr-gl_10.jpg
2,notumor/Tr-no_100.jpg,meningioma/Tr-aug-me_100.jpg,pituitary/Tr-pi_100.jpg,glioma/Tr-gl_100.jpg
3,notumor/Tr-no_1000.jpg,meningioma/Tr-aug-me_11.jpg,pituitary/Tr-pi_1000.jpg,glioma/Tr-gl_1000.jpg
4,notumor/Tr-no_1001.jpg,meningioma/Tr-aug-me_12.jpg,pituitary/Tr-pi_1001.jpg,glioma/Tr-gl_1001.jpg
5,notumor/Tr-no_1002.jpg,meningioma/Tr-aug-me_13.jpg,pituitary/Tr-pi_1002.jpg,glioma/Tr-gl_1002.jpg
6,notumor/Tr-no_1003.jpg,meningioma/Tr-aug-me_14.jpg,pituitary/Tr-pi_1003.jpg,glioma/Tr-gl_1003.jpg
7,notumor/Tr-no_1004.jpg,meningioma/Tr-aug-me_15.jpg,pituitary/Tr-pi_1004.jpg,glioma/Tr-gl_1004.jpg
8,notumor/Tr-no_1005.jpg,meningioma/Tr-aug-me_16.jpg,pituitary/Tr-pi_1005.jpg,glioma/Tr-gl_1005.jpg
9,notumor/Tr-no_1006.jpg,meningioma/Tr-aug-me_17.jpg,pituitary/Tr-pi_1006.jpg,glioma/Tr-gl_1006.jpg
10,notumor/Tr-no_1007.jpg,meningioma/Tr-aug-me_18.jpg,pituitary/Tr-pi_1007.jpg,glioma/Tr-gl_1007.jpg
11,notumor/Tr-no_1008.jpg,meningioma/Tr-aug-me_19.jpg,pituitary/Tr-pi_1008.jpg,glioma/Tr-gl_1008.jpg
12,notumor/Tr-no_1009.jpg,meningioma/Tr-aug-me_2.jpg,pituitary/Tr-pi_1009.jpg,glioma/Tr-gl_1009.jpg
13,notumor/Tr-no_101.jpg,meningioma/Tr-aug-me_20.jpg,pituitary/Tr-pi_101.jpg,glioma/Tr-gl_101.jpg
14,notumor/Tr-no_1010.jpg,meningioma/Tr-aug-me_21.jpg,pituitary/Tr-pi_1010.jpg,glioma/Tr-gl_1010.jpg
15,notumor/Tr-no_1011.jpg,meningioma/Tr-aug-me_22.jpg,pituitary/Tr-pi_1011.jpg,glioma/Tr-gl_1011.jpg
16,notumor/Tr-no_1012.jpg,meningioma/Tr-aug-me_23.jpg,pituitary/Tr-pi_1012.jpg,glioma/Tr-gl_1012.jpg
17,notumor/Tr-no_1013.jpg,meningioma/Tr-aug-me_24.jpg,pituitary/Tr-pi_1013.jpg,glioma/Tr-gl_1013.jpg
18,notumor/Tr-no_1014.jpg,meningioma/Tr-aug-me_25.jpg,pituitary/Tr-pi_1014.jpg,glioma/Tr-gl_1014.jpg
19,notumor/Tr-no_1015.jpg,meningioma/Tr-aug-me_26.jpg,pituitary/Tr-pi_1015.jpg,glioma/Tr-gl_1015.jpg
20,notumor/Tr-no_1016.jpg,meningioma/Tr-aug-me_27.jpg,pituitary/Tr-pi_1016.jpg,glioma/Tr-gl_1016.jpg
21,notumor/Tr-no_1017.jpg,meningioma/Tr-aug-me_28.jpg,pituitary/Tr-pi_1017.jpg,glioma/Tr-gl_1017.jpg
22,notumor/Tr-no_1018.jpg,meningioma/Tr-aug-me_29.jpg,pituitary/Tr-pi_1018.jpg,glioma/Tr-gl_1018.jpg
23,notumor/Tr-no_1019.jpg,meningioma/Tr-aug-me_3.jpg,pituitary/Tr-pi_1019.jpg,glioma/Tr-gl_1019.jpg
24,notumor/Tr-no_102.jpg,meningioma/Tr-aug-me_30.jpg,pituitary/Tr-pi_102.jpg,glioma/Tr-gl_102.jpg
25,notumor/Tr-no_1020.jpg,meningioma/Tr-aug-me_31.jpg,pituitary/Tr-pi_1020.jpg,glioma/Tr-gl_1020.jpg
26,notumor/Tr-no_1021.jpg,meningioma/Tr-aug-me_32.jpg,pituitary/Tr-pi_1021.jpg,glioma/Tr-gl_1021.jpg
27,notumor/Tr-no_1022.jpg,meningioma/Tr-aug-me_33.jpg,pituitary/Tr-pi_1022.jpg,glioma/Tr-gl_1022.jpg
