episode,global_step,mean_100,total_reward,steps
0,96,-105.93,-105.93,96
1,207,-51.45,3.04,111
2,311,-112.05,-233.25,104
3,426,-113.27,-116.95,115
4,508,-169.93,-396.57,82
5,577,-153.58,-71.81,69
6,642,-161.51,-209.11,65
7,750,-175.23,-271.26,108
8,873,-199.33,-392.1,123
9,997,-218.77,-393.79,124
10,1123,-220.0,-232.28,126
11,1221,-214.54,-154.48,98
12,1338,-207.13,-118.17,117
13,1417,-205.29,-181.44,79
14,1528,-203.01,-170.99,111
15,1662,-200.41,-161.47,134
16,1752,-188.89,-4.49,90
17,1915,-190.55,-218.79,163
18,2025,-199.07,-352.48,110
19,2156,-196.84,-154.42,131
20,2240,-188.84,-28.81,84
21,2313,-184.28,-88.61,73
22,2468,-180.45,-96.29,155
23,2598,-174.15,-29.22,130
24,2734,-172.61,-135.48,136
25,2863,-170.19,-109.88,129
26,3044,-170.05,-166.24,181
27,3269,-173.09,-255.14,225
28,3459,-169.93,-81.67,190
29,3551,-169.37,-153.07,92
30,3681,-168.29,-135.93,130
31,3872,-168.55,-176.47,191
32,3994,-168.0,-150.6,122
33,4265,-167.53,-151.97,271
34,4502,-166.84,-143.35,237
35,4753,-164.68,-89.06,251
36,4968,-164.33,-151.6,215
37,5141,-166.57,-249.58,173
38,5327,-164.7,-93.61,186
39,5556,-163.3,-108.49,229
40,5628,-161.98,-109.33,72
41,5805,-161.75,-152.25,177
42,6028,-159.7,-73.64,223
43,6270,-158.94,-126.43,242
44,6523,-158.35,-132.41,253
45,6753,-158.21,-151.84,230
46,7023,-157.61,-129.95,270
47,7310,-155.94,-77.37,287
48,7433,-155.3,-124.46,123
49,7706,-153.36,-58.25,273
50,7909,-160.45,-515.38,203
51,8283,-162.37,-260.09,374
52,8441,-159.78,-25.17,158
53,8634,-156.24,31.57,193
54,8920,-160.04,-365.15,286
55,9172,-157.73,-30.69,252
56,9388,-156.09,-64.33,216
57,10216,-156.8,-197.61,828
58,10560,-154.51,-21.35,344
59,11336,-159.09,-429.53,776
60,12256,-160.25,-229.82,920
61,12498,-157.2,28.66,242
62,12693,-155.11,-25.1,195
63,13693,-153.26,-36.96,1000
64,14693,-152.17,-82.5,1000
65,15693,-149.78,5.46,1000
66,16500,-151.47,-262.99,807
67,17500,-149.57,-21.98,1000
68,18500,-148.19,-54.41,1000
69,19283,-148.58,-175.2,783
70,20283,-147.52,-73.52,1000
71,21283,-146.82,-97.52,1000
72,22283,-146.49,-122.39,1000
73,23283,-145.25,-54.82,1000
74,24283,-145.1,-134.16,1000
75,25283,-143.33,-10.67,1000
76,26283,-142.71,-95.6,1000
77,27283,-142.02,-88.28,1000
78,28283,-140.37,-11.91,1000
79,28381,-138.99,-29.99,98
80,29381,-137.75,-38.44,1000
81,30381,-136.18,-8.93,1000
82,31381,-134.61,-5.87,1000
83,32381,-133.49,-40.99,1000
84,32485,-132.48,-47.04,104
85,33485,-130.95,-0.91,1000
86,34485,-129.54,-8.73,1000
87,35485,-128.22,-13.44,1000
88,36485,-126.96,-15.83,1000
89,36573,-126.02,-42.03,88
90,37573,-124.91,-25.33,1000
91,38573,-123.52,2.79,1000
92,39573,-122.01,17.36,1000
93,40573,-120.83,-11.38,1000
94,41573,-119.56,-0.56,1000
95,42573,-118.54,-21.61,1000
96,43573,-116.86,45.03,1000
97,43648,-116.26,-58.84,75
98,44054,-113.6,147.07,406
99,44125,-112.75,-28.53,71
100,44284,-114.3,-268.52,159
101,44384,-113.45,-27.49,100
102,44454,-113.6,-129.49,70
103,44911,-110.02,259.22,457
104,45546,-106.82,225.36,635
105,45655,-106.62,-85.83,109
106,46448,-104.27,145.03,793
107,46677,-101.31,215.43,229
108,47677,-100.89,-55.72,1000
109,48282,-98.08,208.61,605
110,48891,-95.03,240.64,609
111,49585,-91.97,247.52,694
112,50533,-89.82,151.37,948
113,51390,-87.69,152.85,857
114,52031,-85.12,207.92,641
115,53031,-84.28,11.53,1000
116,53440,-81.51,240.61,409
117,54412,-79.1,202.58,972
118,55050,-77.23,143.61,638
119,55232,-76.88,-35.14,182
120,55596,-74.15,252.67,364
121,55842,-73.73,-22.87,246
122,55972,-73.13,0.87,130
123,56157,-73.26,-89.85,185
124,56559,-70.94,216.72,402
125,56968,-68.82,196.14,409
126,57094,-68.61,-42.29,126
127,57586,-66.23,236.84,492
128,57919,-63.62,269.59,333
129,58194,-60.94,284.82,275
130,58511,-58.74,227.61,317
131,58674,-58.33,-4.76,163
132,59347,-55.89,265.83,673
133,59436,-55.32,21.13,89
134,59808,-52.99,259.83,372
135,59996,-51.34,170.25,188
136,60182,-51.32,-48.49,186
137,60558,-49.44,208.73,376
138,60978,-47.26,253.29,420
139,61115,-47.73,-112.49,137
140,61211,-47.88,-69.41,96
141,61341,-48.73,-168.63,130
142,61562,-46.83,222.4,221
143,61853,-44.76,251.29,291
144,62853,-44.65,-28.41,1000
145,63350,-44.7,-51.54,497
146,63849,-45.02,-91.98,499
147,64083,-44.43,42.77,234
148,64321,-44.76,-93.41,238
149,64852,-43.04,212.8,531
150,65040,-43.63,-132.4,188
151,65392,-41.58,268.71,352
152,65665,-41.6,-45.91,273
153,66286,-40.04,198.99,621
154,66538,-39.74,6.82,252
155,67538,-39.26,34.34,1000
156,67853,-37.35,262.02,315
157,68552,-38.51,-221.75,699
158,68819,-38.44,-26.51,267
159,69204,-36.57,259.83,385
160,69722,-35.0,216.12,518
161,70170,-33.38,228.52,448
162,70544,-31.73,235.71,374
163,71159,-30.54,162.12,615
164,71459,-28.95,231.71,300
165,71756,-27.31,244.13,297
166,72095,-25.51,273.08,339
167,72324,-26.45,-182.79,229
168,72786,-27.4,-188.18,462
169,73525,-25.98,214.6,739
170,73715,-26.05,-38.38,190
171,74715,-25.65,43.74,1000
172,75484,-24.36,197.42,769
173,75877,-22.89,231.52,393
174,76318,-21.58,206.41,441
175,76518,-20.03,250.32,200
176,76926,-18.64,226.19,408
177,77505,-17.0,273.47,579
178,78505,-17.04,-23.66,1000
179,78770,-15.34,289.31,265
180,79481,-13.93,238.39,711
181,80481,-15.15,-234.54,1000
182,80924,-13.85,222.35,443
183,81756,-14.92,-211.2,832
184,82756,-15.08,-45.23,1000
185,83699,-13.91,202.52,943
186,84699,-14.15,-57.28,1000
187,84915,-12.75,248.6,216
188,85912,-11.91,146.4,997
189,86166,-10.44,265.95,254
190,86579,-9.16,234.4,413
191,87579,-9.19,-14.35,1000
192,88068,-8.02,216.97,489
193,88296,-6.64,259.5,228
194,89296,-6.85,-48.63,1000
195,90069,-6.16,129.71,773
196,90327,-4.84,253.61,258
197,91248,-3.67,226.25,921
198,92248,-3.89,-48.05,1000
199,93248,-4.06,-37.25,1000
200,93562,-2.63,282.63,314
201,93826,-1.45,236.77,264
202,94038,-1.7,-51.96,212
203,94313,-0.54,235.06,275
204,94614,0.72,257.79,301
205,94902,0.88,33.45,288
206,95080,2.12,257.84,178
207,95336,3.3,247.21,256
208,95541,3.36,15.23,205
209,95850,4.64,273.08,309
210,96850,4.29,-70.62,1000
211,97268,3.26,-212.19,418
212,98229,3.93,144.99,961
213,98405,4.03,26.0,176
214,98791,5.23,260.56,386
215,98986,6.43,264.22,195
216,99737,5.21,-256.47,751
217,100079,6.16,212.23,342
218,100235,6.13,-0.77,156
219,100648,6.74,139.59,413
220,101204,8.04,293.52,556
221,101364,7.18,-181.6,160
222,101522,7.3,33.06,158
223,102522,6.98,-63.11,1000
224,102824,6.36,-132.98,302
225,103018,7.44,250.83,194
226,104018,7.91,112.55,1000
227,104368,7.23,-146.57,350
228,104619,8.2,229.63,251
229,104878,9.1,216.15,259
230,105324,10.19,260.26,446
231,105440,10.16,3.23,116
232,105621,11.15,239.54,181
233,105988,12.14,243.52,367
234,106229,13.12,242.99,241
235,106548,14.27,285.28,319
236,106816,15.26,247.38,268
237,107067,16.25,250.59,251
238,107287,16.09,-22.32,220
239,107519,15.98,-8.49,232
240,107629,15.91,-0.64,110
241,108004,16.68,202.02,375
242,108320,17.31,169.81,316
243,108709,18.25,244.78,389
244,109168,19.1,228.85,459
245,109453,20.18,284.33,285
246,109615,20.08,-6.15,162
247,109898,20.93,232.37,283
248,110373,21.49,158.81,475
249,110649,22.51,277.13,276
250,110815,23.47,263.79,166
251,111021,24.48,278.99,206
252,111278,25.41,258.32,257
253,111515,26.38,273.2,237
254,111682,27.32,265.03,167
255,112110,28.07,218.46,428
256,112477,28.67,183.88,367
257,112732,29.57,260.22,255
258,113040,30.41,246.73,308
259,113303,31.3,261.58,263
260,113582,32.13,249.77,279
261,113778,33.07,278.19,196
262,114158,33.77,215.44,380
