name,episode,length,total_reward,reason,terminated
heuristic,0,67,-28.902,crash,True
heuristic,1,87,-76.717,crash,True
heuristic,2,86,-47.741,crash,True
heuristic,3,67,-6.797,crash,True
heuristic,4,67,-68.059,crash,True
heuristic,5,66,-69.796,crash,True
heuristic,6,85,-71.353,crash,True
heuristic,7,96,-3.394,crash,True
heuristic,8,90,-119.315,crash,True
heuristic,9,98,-78.896,crash,True
heuristic,10,101,-64.691,crash,True
heuristic,11,79,-59.235,crash,True
heuristic,12,59,-70.378,crash,True
heuristic,13,57,-83.515,crash,True
heuristic,14,68,-28.038,crash,True
heuristic,15,80,-56.1,crash,True
heuristic,16,54,-60.941,crash,True
heuristic,17,89,-63.07,crash,True
heuristic,18,85,-62.787,crash,True
heuristic,19,89,-86.873,crash,True
heuristic,20,59,-61.477,crash,True
heuristic,21,97,-59.028,crash,True
heuristic,22,73,-71.195,crash,True
heuristic,23,60,-55.73,crash,True
heuristic,24,92,-52.562,crash,True
heuristic,25,63,-79.222,crash,True
heuristic,26,63,-70.256,crash,True
heuristic,27,61,-89.157,crash,True
heuristic,28,97,-55.539,crash,True
heuristic,29,68,-95.75,crash,True
heuristic,30,82,-91.947,crash,True
heuristic,31,69,-69.78,crash,True
heuristic,32,59,-12.389,crash,True
heuristic,33,76,-74.993,crash,True
heuristic,34,89,-67.232,crash,True
heuristic,35,76,-121.366,crash,True
heuristic,36,87,-72.742,crash,True
heuristic,37,79,-67.019,crash,True
heuristic,38,58,-72.518,crash,True
heuristic,39,90,-27.488,crash,True
heuristic,40,73,-16.576,crash,True
heuristic,41,85,-51.593,crash,True
heuristic,42,61,-43.18,crash,True
heuristic,43,94,-57.792,crash,True
heuristic,44,59,-40.667,crash,True
heuristic,45,81,-32.355,crash,True
heuristic,46,67,-62.292,crash,True
heuristic,47,67,-85.094,crash,True
heuristic,48,57,-48.191,crash,True
heuristic,49,102,-76.055,crash,True
heuristic,50,68,-54.855,crash,True
heuristic,51,77,-77.125,crash,True
heuristic,52,90,-17.624,crash,True
