name,episode,length,total_reward,reason,terminated
official_heuristic,0,491,180.043,sleep,True
official_heuristic,1,252,303.81,sleep,True
official_heuristic,2,206,256.781,sleep,True
official_heuristic,3,178,251.019,sleep,True
official_heuristic,4,188,300.441,sleep,True
official_heuristic,5,221,295.908,sleep,True
official_heuristic,6,200,246.415,sleep,True
official_heuristic,7,208,280.002,sleep,True
official_heuristic,8,680,204.88,sleep,True
official_heuristic,9,241,314.585,sleep,True
official_heuristic,10,256,290.587,sleep,True
official_heuristic,11,305,182.877,sleep,True
official_heuristic,12,175,267.003,sleep,True
official_heuristic,13,221,312.809,sleep,True
official_heuristic,14,188,247.323,sleep,True
official_heuristic,15,233,272.605,sleep,True
official_heuristic,16,217,313.65,sleep,True
official_heuristic,17,202,267.92,sleep,True
official_heuristic,18,226,307.035,sleep,True
official_heuristic,19,225,301.697,sleep,True
official_heuristic,20,198,304.448,sleep,True
official_heuristic,21,255,297.436,sleep,True
official_heuristic,22,212,292.684,sleep,True
official_heuristic,23,193,254.402,sleep,True
official_heuristic,24,214,265.221,sleep,True
official_heuristic,25,1000,84.734,timeout,False
official_heuristic,26,222,244.119,sleep,True
official_heuristic,27,339,298.352,sleep,True
official_heuristic,28,214,277.367,sleep,True
official_heuristic,29,632,178.008,sleep,True
official_heuristic,30,199,266.443,sleep,True
official_heuristic,31,205,266.29,sleep,True
official_heuristic,32,172,284.475,sleep,True
official_heuristic,33,190,258.949,sleep,True
official_heuristic,34,235,255.992,sleep,True
official_heuristic,35,182,274.768,sleep,True
official_heuristic,36,467,279.167,sleep,True
official_heuristic,37,203,254.569,sleep,True
official_heuristic,38,456,263.327,sleep,True
official_heuristic,39,203,261.693,sleep,True
official_heuristic,40,188,241.874,sleep,True
official_heuristic,41,210,259.658,sleep,True
official_heuristic,42,177,285.191,sleep,True
official_heuristic,43,230,273.872,sleep,True
official_heuristic,44,181,303.846,sleep,True
official_heuristic,45,189,253.896,sleep,True
official_heuristic,46,96,32.744,crash,True
official_heuristic,47,221,304.323,sleep,True
official_heuristic,48,209,291.971,sleep,True
official_heuristic,49,300,233.232,sleep,True
official_heuristic,50,271,255.493,sleep,True
official_heuristic,51,230,278.944,sleep,True
official_heuristic,52,197,266.022,sleep,True
official_heuristic,53,193,248.734,sleep,True
official_heuristic,54,305,267.257,sleep,True
official_heuristic,55,273,262.182,sleep,True
official_heuristic,56,188,287.289,sleep,True
official_heuristic,57,225,300.586,sleep,True
official_heuristic,58,452,248.157,sleep,True
official_heuristic,59,225,286.723,sleep,True
official_heuristic,60,232,299.251,sleep,True
official_heuristic,61,240,296.342,sleep,True
official_heuristic,62,187,300.506,sleep,True
official_heuristic,63,204,262.726,sleep,True
official_heuristic,64,290,-100.659,crash,True
