name,episode,length,total_reward,reason,terminated
random,0,75,-91.093,crash,True
random,1,89,-357.059,out_of_view,True
random,2,120,-164.025,crash,True
random,3,96,-41.648,crash,True
random,4,73,-89.292,crash,True
random,5,74,-130.725,crash,True
random,6,91,-153.063,crash,True
random,7,104,-449.357,crash,True
random,8,100,-368.303,crash,True
random,9,116,-257.062,out_of_view,True
random,10,130,-146.856,crash,True
random,11,94,-230.774,crash,True
random,12,67,-172.823,crash,True
random,13,65,-77.458,crash,True
random,14,72,-87.166,crash,True
random,15,99,-138.003,crash,True
random,16,55,-87.305,crash,True
random,17,99,-92.9,crash,True
random,18,92,-365.962,out_of_view,True
random,19,127,-242.591,out_of_view,True
random,20,89,16.14,crash,True
random,21,112,-244.081,out_of_view,True
random,22,98,-157.04,crash,True
random,23,94,-147.359,crash,True
random,24,135,-72.642,crash,True
random,25,87,-397.379,crash,True
random,26,83,-270.276,crash,True
random,27,76,-90.641,crash,True
random,28,131,-91.9,crash,True
random,29,68,-138.712,crash,True
random,30,107,-230.128,crash,True
random,31,75,-249.709,crash,True
random,32,64,-63.446,crash,True
random,33,82,-326.316,crash,True
random,34,118,-117.808,crash,True
random,35,77,-85.514,crash,True
random,36,113,-209.289,out_of_view,True
random,37,91,-108.104,crash,True
random,38,70,-86.614,crash,True
random,39,123,-88.807,crash,True
random,40,83,-329.612,crash,True
random,41,108,-478.712,crash,True
random,42,70,-262.144,crash,True
random,43,110,-243.535,crash,True
random,44,69,-85.996,crash,True
random,45,88,-243.885,crash,True
random,46,80,-57.638,crash,True
random,47,86,-280.336,crash,True
random,48,63,-102.536,crash,True
random,49,107,-152.306,out_of_view,True
random,50,73,-101.019,crash,True
random,51,93,-32.378,crash,True
random,52,103,-114.223,crash,True
random,53,91,-139.338,crash,True
random,54,72,-107.97,crash,True
random,55,80,-134.237,crash,True
random,56,82,-47.32,crash,True
random,57,100,-270.971,out_of_view,True
random,58,117,-305.056,crash,True
random,59,147,-31.652,crash,True
random,60,97,-158.062,crash,True
random,61,84,-345.463,crash,True
random,62,77,-228.082,crash,True
random,63,116,-261.384,crash,True
random,64,81,-163.593,crash,True
random,65,116,-89.553,crash,True
random,66,151,-133.419,crash,True
random,67,63,-158.879,crash,True
random,68,69,-104.436,crash,True
random,69,75,-143.253,crash,True
random,70,122,-134.958,crash,True
random,71,59,-126.275,crash,True
random,72,69,-117.83,crash,True
random,73,126,-281.877,crash,True
random,74,59,-72.103,crash,True
random,75,89,-106.592,crash,True
random,76,97,-107.299,crash,True
random,77,139,-176.072,out_of_view,True
random,78,73,-97.443,crash,True
random,79,66,-221.989,crash,True
random,80,71,-103.527,crash,True
random,81,79,-269.148,crash,True
random,82,100,-130.585,crash,True
random,83,90,-205.039,crash,True
random,84,84,-238.524,crash,True
random,85,92,-214.577,crash,True
random,86,97,-0.861,crash,True
random,87,104,-112.729,crash,True
random,88,82,-110.414,crash,True
random,89,136,-226.945,crash,True
random,90,92,-86.616,crash,True
random,91,78,-97.409,crash,True
random,92,95,-88.411,crash,True
random,93,62,-176.976,crash,True
random,94,96,-249.667,crash,True
random,95,135,-228.198,crash,True
random,96,120,-390.722,crash,True
random,97,78,-205.693,crash,True
random,98,74,-225.298,crash,True
random,99,75,-119.238,crash,True
random,100,65,-111.646,crash,True
random,101,77,-72.16,crash,True
random,102,97,-149.472,crash,True
random,103,76,-130.72,crash,True
random,104,86,-372.301,out_of_view,True
random,105,66,-114.453,crash,True
random,106,67,-94.13,crash,True
random,107,79,-32.873,crash,True
random,108,145,-257.113,crash,True
random,109,100,-253.246,out_of_view,True
random,110,86,-112.702,crash,True
random,111,92,-341.647,crash,True
random,112,75,-80.289,crash,True
random,113,90,-223.941,crash,True
random,114,70,-70.512,crash,True
random,115,66,-155.218,crash,True
random,116,83,-261.333,crash,True
random,117,122,-287.924,crash,True
random,118,88,-163.3,crash,True
random,119,96,-172.526,crash,True
random,120,108,-140.415,crash,True
